"line","frequency","term_1","term_2","prediction"
"50305",53,"cook","differ","at"
"50307",23,"cook","ever","or"
"50309",49,"cook","for","1"
"50310",39,"cook","for","anoth"
"50311",25,"cook","lager","appreciation"
"50312",30,"cook","leav","shit"
"50314",27,"cook","off","team"
"50315",27,"cook","off","will"
"50318",36,"cook","stir","often"
"50321",49,"cook","the","sausag"
"50322",44,"cook","thing","mending"
"50323",36,"cook","through","15"
"50327",29,"cook","until","fragrant"
"50329",31,"cook","until","soft"
"50330",31,"cook","until","softened"
"50331",37,"cook","wthe","same"
"50335",22,"cooki","and","put"
"50336",42,"cooki","and","such"
"50339",22,"cooki","cop","will"
"50340",29,"cooki","crumbl","love"
"50347",29,"cookiecutt","punk","but"
"50348",45,"cooki","beef","jerky"
"50354",33,"cook","he","say"
"50356",21,"cook","the","kitchen"
"50357",39,"cook","uncov","for"
"50358",58,"cool","islammademereali","is"
"50363",38,"cool","and","heat"
"50366",34,"cool","at","least"
"50367",46,"cool","but","my"
"50369",21,"cool","but","rude"
"50375",45,"cool","down","for"
"50378",64,"cool","go","befor"
"50379",56,"cool","i","can"
"50380",60,"cool","i","m"
"50385",38,"cool","mumbl","read"
"50386",21,"cool","music","anyway"
"50389",22,"cool","old","slide"
"50390",33,"cool","peopl","i"
"50391",38,"cool","person","to"
"50392",22,"cool","rack","and"
"50393",63,"cool","rt","i"
"50395",70,"cool","so","is"
"50397",47,"cool","spot","and"
"50399",26,"cool","stuff","planned"
"50401",26,"cool","that","two"
"50403",27,"cool","thing","are"
"50404",34,"cool","thing","from"
"50406",55,"cool","when","doe"
"50407",29,"cool","with","my"
"50408",58,"cool","with","that"
"50413",22,"cooler","to","show"
"50415",41,"coolest","flow","love"
"50420",22,"cool","there","is"
"50421",30,"cooltid","some","peopl"
"50422",54,"coon","v","o"
"50428",42,"coop","livestock","pens"
"50429",29,"coor","be","far"
"50433",37,"coordin","and","put"
"50434",39,"coordin","for","the"
"50439",29,"coordin","about","80"
"50440",65,"coordin","jenni","ferretti"
"50442",20,"coown","three","companies"
"50445",26,"cop","brought","out"
"50449",43,"cop","or","criminals"
"50459",38,"copeland","keep","famili"
"50460",32,"copi","for","all"
"50462",33,"copi","i","have"
"50463",48,"copi","in","2"
"50470",63,"copi","of","our"
"50471",33,"copi","of","the"
"50472",36,"copi","of","their"
"50477",34,"copic","or","pro"
"50479",26,"coplei","place","hotel"
"50481",22,"cop","a","repriev"
"50482",22,"cop","will","split"
"50483",36,"coproduct","made","for"
"50486",21,"copi","past","or"
"50488",37,"copyright","2012","of"
"50491",36,"copyright","bill","would"
"50496",38,"coral","kaff","fassett"
"50503",26,"cordarrel","patterson","is"
"50505",27,"cordi","glenn","georgia"
"50506",51,"cordoba","and","marbella"
"50507",26,"core","and","common"
"50509",39,"core","board","i"
"50514",49,"core","it","a"
"50515",43,"core","of","all"
"50519",32,"core","standard","mandates"
"50520",41,"core","state","standard"
"50521",49,"core","the","question"
"50522",25,"corella","bohol","where"
"50523",31,"corei","maggett","dj"
"50524",35,"corei","to","get"
"50527",23,"corinthian","15","44"
"50531",39,"corker","sharp","lively"
"50539",34,"corn","orang","slice"
"50540",30,"corn","to","the"
"50544",46,"cornell","maa","says"
"50550",41,"corner","fairmount","and"
"50551",29,"corner","in","his"
"50554",47,"corner","of","southeast"
"50557",30,"corner","off","of"
"50558",31,"corner","restaur","near"
"50562",23,"cornerback","prospect","in"
"50563",25,"corner","narrow","straightaway"
"50565",34,"cornerston","initi","for"
"50571",34,"corni","but","i"
"50576",21,"corp","invasiv","speci"
"50579",31,"corp","i","still"
"50580",31,"corp","portland","district"
"50582",38,"corp","thin","by"
"50583",31,"corp","univ","pictur"
"50587",55,"corpor","in","1990"
"50591",22,"corpor","profit","of"
"50592",31,"corpor","run","today"
"50599",42,"corpor","welfar","and"
"50601",31,"corpor","i","affili"
"50605",30,"corp","of","their"
"50607",23,"correct","and","to"
"50608",53,"correct","at","his"
"50609",30,"correct","by","close"
"50610",32,"correct","dogma","has"
"50613",35,"correct","janett","on"
"50620",58,"correct","the","director"
"50621",41,"correctli","take","into"
"50622",32,"correctli","the","pictur"
"50623",32,"correct","to","silent"
"50624",20,"correspond","dinner","i"
"50627",51,"correspond","shoo","ipad"
"50632",26,"corrupt","a","deputi"
"50633",42,"corrupt","and","loot"
"50634",30,"corrupt","democrat","parti"
"50636",32,"corrupt","oop","mendic"
"50637",39,"corrupt","sdiego","ca"
"50638",22,"corrupt","sometim","we"
"50639",54,"corset","also","give"
"50640",54,"corset","becau","it"
"50641",54,"corset","doesnt","poke"
"50642",54,"corset","for","this"
"50643",20,"corseti","in","the"
"50646",25,"cortison","drug","prednison"
"50647",24,"corval","wa","the"
"50648",54,"coryel","a","soon"
"50654",29,"cosmet","and","beauti"
"50656",27,"cosmetolog","school","were"
"50661",21,"cost","3","99lb"
"50663",34,"cost","130","million"
"50667",38,"cost","9","general"
"50670",46,"cost","and","like"
"50672",31,"cost","approxim","17"
"50675",42,"cost","connect","with"
"50677",22,"cost","far","much"
"50680",34,"cost","for","those"
"50681",64,"cost","him","his"
"50684",21,"cost","i","25"
"50685",28,"cost","i","825"
"50691",28,"cost","of","770"
"50695",26,"cost","of","more"
"50696",20,"cost","of","print"
"50698",86,"cost","of","the"
"50699",27,"cost","room","rate"
"50709",27,"cost","to","resid"
"50711",32,"cost","to","the"
"50712",41,"cost","u","beekeep"
"50714",34,"cost","would","be"
"50718",21,"costar","emma","raulina"
"50719",34,"costar","salma","hayek"
"50722",45,"costli","new","crtasa"
"50727",20,"costum","the","cast"
"50730",54,"costum","thing","to"
"50731",28,"cosumn","river","colleg"
"50733",44,"cote","brilliant","av"
"50734",25,"cottag","at","the"
"50735",26,"cottag","chees","or"
"50736",54,"cottag","rental","operation"
"50737",25,"cottag","although","it"
"50738",25,"cottag","if","we"
"50739",25,"cottag","it","has"
"50740",28,"cotto","again","for"
"50741",39,"cotton","and","student"
"50743",23,"cotton","most","flag"
"50745",49,"couch","and","an"
"50746",36,"couch","and","bamboo"
"50747",34,"couch","fart","and"
"50751",36,"coud","sai","the"
"50752",44,"coudrai","fell","22nd"
"50753",44,"coudrai","pu","befor"
"50754",48,"cough","and","health"
"50755",29,"cough","a","horribl"
"50756",39,"cough","blow","nose"
"50757",39,"cough","cough","blow"
"50758",31,"cough","cough","kobe"
"50759",31,"cough","kobe","haha"
"50760",39,"cough","sneez","cough"
"50761",39,"cough","sneez","sneeze"
"50763",28,"coughlin","also","express"
"50764",44,"could","like","it"
"50766",44,"could","accommod","more"
"50771",45,"could","also","be"
"50775",24,"could","anyth","remot"
"50778",30,"could","be","a"
"50780",27,"could","be","adopt"
"50782",42,"could","be","back"
"50784",47,"could","be","convinc"
"50785",29,"could","be","dcwv"
"50786",31,"could","be","done"
"50788",23,"could","be","exacerb"
"50789",20,"could","be","further"
"50793",31,"could","be","just"
"50795",37,"could","be","like"
"50798",27,"could","be","nearbi"
"50800",63,"could","be","on"
"50801",132,"could","be","one"
"50803",48,"could","be","rais"
"50808",48,"could","be","someth"
"50809",34,"could","be","spend"
"50811",54,"could","be","uncl"
"50813",28,"could","becom","as"
"50815",33,"could","bring","the"
"50816",36,"could","bui","a"
"50818",28,"could","catch","a"
"50820",30,"could","cau","major"
"50821",20,"could","chang","in"
"50824",37,"could","chronicl","mani"
"50825",22,"could","climb","higher"
"50826",56,"could","come","see"
"50828",39,"could","cost","him"
"50830",30,"could","count","who"
"50833",36,"could","deal","with"
"50835",21,"could","disciplin","ani"
"50837",31,"could","do","but"
"50838",46,"could","do","hagelin"
"50839",33,"could","do","it"
"50842",32,"could","do","to"
"50843",32,"could","do","was"
"50847",25,"could","easili","nick"
"50849",43,"could","either","be"
"50850",21,"could","end","up"
"50854",32,"could","face","life"
"50858",23,"could","final","come"
"50860",33,"could","find","but"
"50861",30,"could","find","for"
"50864",38,"could","finish","the"
"50865",22,"could","fit","in"
"50866",23,"could","get","an"
"50867",41,"could","get","arrested"
"50868",50,"could","get","better"
"50869",35,"could","get","my"
"50871",25,"could","get","them"
"50873",36,"could","give","you"
"50874",21,"could","go","ahead"
"50875",29,"could","go","on"
"50876",53,"could","go","with"
"50882",34,"could","have","a"
"50883",32,"could","have","been"
"50885",33,"could","have","chang"
"50886",33,"could","have","chosen"
"50887",41,"could","have","come"
"50888",20,"could","have","creat"
"50890",34,"could","have","given"
"50891",48,"could","have","gotten"
"50892",36,"could","have","happen"
"50894",29,"could","have","identifi"
"50895",25,"could","have","made"
"50898",58,"could","have","promot"
"50899",43,"could","have","put"
"50901",33,"could","have","sucked"
"50905",49,"could","hear",""
"50911",21,"could","i","say"
"50912",28,"could","impress","upon"
"50914",31,"could","infer","such"
"50917",32,"could","interven","quick"
"50918",33,"could","join","the"
"50922",25,"could","keep","an"
"50926",53,"could","label","40"
"50927",42,"could","lead","to"
"50928",46,"could","linger","till"
"50936",46,"could","make","pasadena"
"50940",24,"could","mean","the"
"50941",36,"could","mean","you"
"50943",39,"could","move","into"
"50949",24,"could","not","be"
"50950",24,"could","not","close"
"50954",24,"could","not","find"
"50956",62,"could","not","look"
"50959",83,"could","not","say"
"50963",47,"could","pai","the"
"50965",44,"could","person","find"
"50966",43,"could","plai","better"
"50970",24,"could","post","photo"
"50972",26,"could","provid","us"
"50973",38,"could","pull","back"
"50979",27,"could","realli","get"
"50981",40,"could","receiv","5"
"50982",30,"could","receiv","up"
"50986",27,"could","save","million"
"50989",27,"could","sai","it"
"50992",42,"could","see","his"
"50997",21,"could","see","the"
"50998",31,"could","see","where"
"50999",31,"could","see","whi"
"51002",37,"could","shoot","us"
"51006",40,"could","somedai","be"
"51011",31,"could","spend","it"
"51013",35,"could","start","deliber"
"51014",33,"could","start","with"
"51016",49,"could","stock","up"
"51017",33,"could","studi","and"
"51018",38,"could","subject","to"
"51020",52,"could","support","an"
"51022",25,"could","take","care"
"51023",34,"could","take","earli"
"51025",47,"could","tap","them"
"51028",33,"could","then","be"
"51029",28,"could","tilt","the"
"51030",30,"could","top","mccann"
"51031",29,"could","u","pleas"
"51032",22,"could","under","the"
"51033",35,"could","unnecessarili","frighten"
"51034",40,"could","updat","a"
"51035",52,"could","us","a"
"51036",44,"could","us","it"
"51037",20,"could","us","more"
"51038",27,"could","us","onlin"
"51040",33,"could","v","sworn"
"51042",45,"could","whip","up"
"51045",29,"could","wind","up"
"51047",21,"could","write","3"
"51050",38,"could","you","relat"
"51051",46,"coulda","had","it"
"51053",87,"couldn","t","be"
"51054",36,"couldn","t","catch"
"51055",32,"couldn","t","eat"
"51056",93,"couldn","t","have"
"51057",49,"couldn","t","imagin"
"51059",22,"couldn","t","live"
"51060",40,"couldn","t","make"
"51061",26,"couldn","t","prove"
"51062",27,"couldn","t","realli"
"51063",29,"couldn","t","resist"
"51066",60,"couldn","t","tell"
"51067",69,"couldn","t","wait"
"51068",35,"couldnt","be","happier"
"51070",29,"couldnt","be","enter"
"51072",25,"couldnt","find","a"
"51073",34,"couldnt","get","anyon"
"51077",34,"couldnt","stand","it"
"51079",44,"couldnt","ask","for"
"51081",32,"couldnt","do","it"
"51084",46,"couldnt","identifi","him"
"51085",34,"couldnt","live","on"
"51086",56,"couldnt","read","thing"
"51088",41,"couldnt","sai","whether"
"51089",35,"council","also","said"
"51092",29,"council","discretionari","spend"
"51094",35,"council","full","comment"
"51095",39,"council","includ","former"
"51097",29,"council","member","carol"
"51099",41,"council","of","chief"
"51100",39,"council","of","tow"
"51101",32,"council","permiss","is"
"51102",22,"council","presid","billi"
"51105",25,"council","tax","band"
"51106",27,"council","third","annual"
"51114",44,"councilman","and","superintend"
"51116",29,"councilman","chri","glover"
"51119",22,"councilwoman","mari","ann"
"51122",35,"counsel","for","the"
"51126",22,"count","and","countess"
"51127",31,"count","and","got"
"51128",38,"count","ar","moderate"
"51131",24,"count","but","our"
"51132",44,"count","down","to"
"51133",43,"count","for","the"
"51134",32,"count","of","attempt"
"51135",22,"count","of","feloni"
"51136",36,"count","of","firstdegre"
"51140",53,"count","on","bell"
"51142",45,"count","on","to"
"51143",36,"count","that","the"
"51144",35,"count","these","two"
"51145",30,"count","who","wore"
"51147",58,"counter","toomuchhappen","with"
"51149",66,"counter","4","their"
"51151",27,"counter","produc","absolut"
"51152",26,"counter","propo","includ"
"51153",66,"counter","sadli","ur"
"51155",31,"counter","that","got"
"51156",22,"counterattack","launch","as"
"51161",34,"countertop","or","table"
"51162",22,"countess","von","schwanenberg"
"51167",28,"counti","administr","center"
"51168",39,"counti","ag","center"
"51170",24,"counti","and","candi"
"51175",22,"counti","a","to"
"51186",29,"counti","circuit","court"
"51187",39,"counti","commiss","approv"
"51190",30,"counti","commun","college"
"51191",22,"counti","council","presid"
"51194",21,"counti","courthou","lawn"
"51195",39,"counti","creat","by"
"51199",24,"counti","egg","had"
"51200",28,"counti","event","where"
"51202",49,"counti","execut","posit"
"51203",27,"counti","execut","pretti"
"51205",27,"counti","execut","said"
"51206",27,"counti","execut","connal"
"51207",29,"counti","figur","claim"
"51212",39,"counti","ha","now"
"51213",36,"counti","hou","author"
"51214",25,"counti","i","how"
"51216",26,"counti","i","so"
"51217",41,"counti","juri","decid"
"51220",54,"counti","librari","start"
"51221",33,"counti","mall","around"
"51225",33,"counti","polic","department"
"51227",36,"counti","polic","but"
"51228",23,"counti","prosecutor","offic"
"51229",65,"counti","prosecutor","office"
"51231",25,"counti","resid","gain"
"51239",55,"counti","superior","court"
"51242",22,"counti","titl","bureau"
"51245",39,"counti","wa","one"
"51248",61,"counti","where","the"
"51251",20,"countless","amen","includ"
"51255",36,"countri","acr","dr"
"51262",48,"countri","and","tradit"
"51265",30,"countri","but","when"
"51266",36,"countri","call","for"
"51269",33,"countri","code","for"
"51271",38,"countri","given","that"
"51278",31,"countri","i","look"
"51279",26,"countri","i","now"
"51280",43,"countri","i","over"
"51281",24,"countri","life","i"
"51284",21,"countri","music","award"
"51287",39,"countri","on","the"
"51288",24,"countri","or","other"
"51289",39,"countri","popul","to"
"51295",41,"countri","the","dieoff"
"51298",37,"countri","to","allow"
"51299",37,"countri","to","lift"
"51300",57,"countri","to","themselves"
"51301",24,"countri","wa","deal"
"51302",44,"countri","we","werent"
"51304",34,"countri","were","pitch"
"51306",26,"countri","with","an"
"51307",44,"countri","with","no"
"51309",32,"countri","21","cities"
"51310",20,"countri","about","two"
"51311",25,"countri","but","that"
"51315",25,"countri","36","of"
"51316",35,"countri","and","we"
"51318",39,"countri","but","recent"
"51320",43,"countri","niemi","was"
"51322",32,"countri","sinc","we"
"51326",30,"countri","which","hold"
"51330",26,"country","scientif","and"
"51332",21,"count","isnt","it"
"51333",22,"counti","309","percent"
"51334",26,"counti","a","sister"
"51336",48,"counti","and","that"
"51337",24,"counti","in","the"
"51338",26,"counti","it","would"
"51344",34,"counti","which","spent"
"51345",22,"counti","with","134"
"51350",35,"coupl","attend","the"
"51351",44,"coupl","cow","so"
"51353",68,"coupl","dai","ago"
"51358",32,"coupl","ha","alreadi"
"51363",56,"coupl","hour","listen"
"51370",46,"coupl","of","earli"
"51372",23,"coupl","of","friday"
"51373",21,"coupl","of","his"
"51374",48,"coupl","of","hours"
"51377",21,"coupl","of","month"
"51384",37,"coupl","of","them"
"51388",24,"coupl","of","win"
"51390",21,"coupl","or","53"
"51392",22,"coupl","other","dvds"
"51396",34,"coupl","that","dont"
"51407",51,"coupon","code","labor"
"51409",44,"courag","doe","want"
"51410",44,"courag","had","found"
"51411",39,"courag","lose","all"
"51413",44,"courag","to","focus"
"51414",40,"courag","to","make"
"51419",40,"courant","theme","of"
"51420",33,"courierlif","produc","advertori"
"51421",25,"courier","were","killed"
"51424",44,"cour","automat","at"
"51428",24,"cour","german","had"
"51430",83,"cour","i","will"
"51432",34,"cour","ill","have"
"51433",21,"cour","in","avon"
"51436",37,"cour","it","histor"
"51439",37,"cour","of","14"
"51440",31,"cour","of","a"
"51441",35,"cour","of","action"
"51443",26,"cour","of","life"
"51444",25,"cour","of","the"
"51445",39,"cour","still","targeted"
"51448",49,"cour","the","first"
"51451",41,"cour","theyr","pink"
"51453",44,"cour","video","shot"
"51457",21,"cour","you","r"
"51463",45,"cours","best","of"
"51469",31,"cours","i","did"
"51470",36,"cours","i","have"
"51476",68,"cours","it","is"
"51478",37,"cours","it","was"
"51481",29,"cours","most","practis"
"51484",36,"cours","rilei","cant"
"51485",33,"cours","she","knew"
"51488",31,"cours","start","off"
"51490",29,"cours","the","mysteri"
"51492",35,"cours","thi","burden"
"51497",47,"cours","would","like"
"51501",29,"court","and","daniell"
"51511",32,"court","brief","the"
"51515",49,"court","conclud","that"
"51520",41,"court","deci","spark"
"51524",39,"court","document","a"
"51526",31,"court","document","the"
"51528",23,"court","er","assistant"
"51529",30,"court","file","justic"
"51531",44,"court","ha","clear"
"51533",37,"court","he","also"
"51534",48,"court","in","2002"
"51536",32,"court","in","morristown"
"51539",36,"court","in","the"
"51540",23,"court","i","constrain"
"51543",29,"court","mondai","for"
"51548",22,"court","of","europe"
"51554",39,"court","record","vanwasshenova"
"51556",42,"court","rori","best"
"51557",21,"court","rule","that"
"51559",34,"court","rule","modern"
"51561",23,"court","spitz","said"
"51562",30,"court","supervis","he"
"51566",41,"court","to","bow"
"51570",23,"court","opinion","onli"
"51573",38,"courtesi","of","a"
"51575",36,"courtesi","of","my"
"51578",21,"courthou","lawn",""
"51579",36,"courtnei","upshaw","to"
"51582",23,"courtroom","he","want"
"51584",30,"courtroom","just","to"
"51586",38,"court","and","various"
"51587",38,"court","no","justice"
"51589",39,"couscou","and","cook"
"51590",39,"couscou","pearl","have"
"51595",33,"cousin","mike","his"
"51600",31,"coutur","in","fashion"
"51605",22,"cove","peterson","ad"
"51606",34,"coven","brood","is"
"51607",41,"coventri","cleveland","heights"
"51608",26,"cover","occupymilwauk","today"
"51609",69,"cover","1","pajama"
"51611",39,"cover","a","varieti"
"51617",37,"cover","bridg","and"
"51618",29,"cover","but","it"
"51622",40,"cover","follow","almost"
"51625",36,"cover","in","a"
"51628",20,"cover","insecur","mar"
"51631",20,"cover","me","all"
"51634",21,"cover","of","the"
"51636",30,"cover","religi","experi"
"51637",25,"cover","show","two"
"51641",29,"cover","the","bird"
"51643",24,"cover","the","miami"
"51650",45,"cover","to","use"
"51654",32,"cover","yourself","up"
"51655",27,"coverag","anymor","smwcampaign"
"51656",23,"coverag","given","his"
"51658",58,"coverag","of","isu"
"51665",38,"cover","i","was"
"51667",43,"covert","establish","by"
"51671",59,"cow","bell","at"
"51673",44,"cow","now","probabl"
"51675",40,"cowbel","mix","in"
"51676",56,"cowboi","a","a"
"51682",46,"cowboi","messag","of"
"51692",29,"cowork","said","lyle"
"51695",21,"coworld","member","kate"
"51696",44,"cow","so","she"
"51698",26,"cox","commun","cablevision"
"51701",39,"coyot","ar","in"
"51703",21,"coyot","goali","who"
"51715",32,"crabbi","becau","he"
"51718",20,"crack","at","this"
"51719",37,"crack","down","on"
"51720",57,"crack","if","you"
"51721",70,"crack","in","the"
"51722",54,"crack","myself","up"
"51723",23,"crack","or","break"
"51731",44,"cracker","14th","quolibet"
"51735",33,"craft","white","pale"
"51743",38,"craft","desk","guilt"
"51744",23,"craft","fabric","have"
"51745",30,"craft","fair","in"
"51746",30,"craft","for","the"
"51749",23,"craft","i","feel"
"51750",31,"craft","knockout","scallop"
"51753",26,"craft","squab","lacquer"
"51760",27,"crafti","for","now"
"51762",22,"craig","then","veto"
"51763",22,"craig","veto","say"
"51766",30,"cram","even","more"
"51767",27,"cram","with","those"
"51769",24,"cranberri","and","my"
"51770",25,"craneoff","the","load"
"51771",32,"crane","owner","and"
"51772",42,"cranki","and","what"
"51774",57,"crap","i","m"
"51776",43,"crap","out","of"
"51777",30,"crap","that","last"
"51778",57,"crap","with","kim"
"51779",22,"crapo","park","that"
"51780",35,"crash","against","the"
"51783",20,"crash","he","was"
"51784",25,"crash","hi","primari"
"51785",58,"crash","i205","southbound"
"51787",27,"crash","report","jonathan"
"51788",41,"crash","said","lt"
"51792",36,"crater","and","build"
"51793",22,"crave","mapl","glaze"
"51798",22,"crawford","said","in"
"51800",32,"crawl","around","good"
"51802",34,"crayon","then","so"
"51803",53,"crazi","and","have"
"51804",55,"crazi","bitch","ass"
"51805",24,"crazi","busi","week"
"51806",46,"crazi","but","fulfil"
"51807",29,"crazi","but","i"
"51810",51,"crazi","foghat","fan"
"51811",25,"crazi","in","ani"
"51814",37,"crazi","or","they"
"51815",25,"crazi","or","weak"
"51817",59,"crazi","polit","textbook"
"51821",36,"crazi","to","win"
"51822",59,"crazi","town","taught"
"51823",53,"crazi","week","and"
"51826",61,"crazyass","season","for"
"51827",37,"crazybusi","work","on"
"51830",25,"crazi","he","just"
"51831",37,"crazi","onli","so"
"51832",30,"crazi","sweet","littl"
"51834",28,"crazi","we","were"
"51835",34,"crazi","wild","ride"
"51837",30,"crct","score","drop"
"51840",22,"cream","a","best"
"51842",30,"cream","citi","chai"
"51843",37,"cream","cone","and"
"51844",22,"cream","fill","then"
"51847",22,"cream","off","one"
"51848",22,"cream","on","one"
"51849",26,"cream","plain","cup"
"51850",61,"cream","social","flavor"
"51851",37,"cream","syrup","or"
"51852",36,"cream","the","frost"
"51856",48,"creami","curri","carrot"
"51860",44,"creat","12","solid"
"51861",40,"creat","40","million"
"51862",44,"creat","a","climat"
"51863",34,"creat","a","conflict"
"51865",25,"creat","a","fabul"
"51867",32,"creat","a","feel"
"51871",28,"creat","a","menu"
"51872",37,"creat","a","mix"
"51873",22,"creat","a","monster"
"51874",27,"creat","a","new"
"51876",31,"creat","a","pervers"
"51877",24,"creat","a","powerful"
"51883",40,"creat","a","way"
"51884",30,"creat","an","intermediateterm"
"51885",51,"creat","ammonium","hydroxid"
"51892",36,"creat","by","bever"
"51893",24,"creat","by","eurorscg"
"51894",88,"creat","by","the"
"51895",26,"creat","campaign","for"
"51896",39,"creat","clear","line"
"51900",29,"creat","especi","for"
"51904",31,"creat","i","know"
"51906",23,"creat","in","march"
"51908",21,"creat","it","here"
"51909",36,"creat","less","tension"
"51910",20,"creat","more","hispanicdomin"
"51913",33,"creat","new","connect"
"51915",22,"creat","over","the"
"51920",20,"creat","someth","so"
"51924",21,"creat","the","charact"
"51929",40,"creat","the","now"
"51934",50,"creat","their","own"
"51937",40,"creat","threedimens","charact"
"51939",31,"creat","too","much"
"51940",38,"creat","turnov","which"
"51941",29,"creat","us","creativ"
"51942",41,"creat","wealthbefor","i"
"51943",27,"creat","wellround","femal"
"51944",20,"creat","what","you"
"51946",44,"creat","with","her"
"51947",48,"creat","wordpress","theme"
"51950",48,"creat","it","is"
"51954",47,"creation","i","consid"
"51955",38,"creation","of","a"
"51956",29,"creation","of","ani"
"51958",38,"creation","of","new"
"51959",23,"creation","of","some"
"51962",29,"creation","thei","have"
"51966",26,"creativ","back","out"
"51967",32,"creativ","but","most"
"51968",25,"creativ","design","for"
"51969",22,"creativ","financ","rather"
"51970",20,"creativ","geniu","behind"
"51971",32,"creativ","hotel","name"
"51973",87,"creativ","kut","and"
"51974",31,"creativ","leadership","lectur"
"51976",40,"creativ","passion","i"
"51982",29,"creativ","side","is"
"51984",40,"creativ","their","work"
"51986",31,"creativ","type","are"
"51987",29,"creativ","vacat","solutions"
"51988",31,"creativ","vision","itself"
"51991",28,"creativ","express","yourself"
"51992",51,"creativ","keep","up"
"51993",26,"creativ","both","of"
"51995",35,"creativ","genero","and"
"51997",27,"creator","adam","herz"
"51998",37,"creator","energi","the"
"51999",39,"creator","ralph","bruno"
"52001",34,"creatur","cage","fight"
"52004",35,"creatur","which","happen"
"52006",45,"credenti","that","will"
"52007",51,"credibl","but","i"
"52010",40,"credit","a","be"
"52011",43,"credit","card","payments"
"52012",28,"credit","card","said"
"52013",34,"credit","card","to"
"52016",34,"credit","car","polic"
"52017",34,"credit","for","compani"
"52018",39,"credit","for","im"
"52019",40,"credit","for","the"
"52021",40,"credit","for","whatev"
"52024",24,"credit","includ","one"
"52026",56,"credit","it","all"
"52029",22,"credit","mani","owner"
"52031",20,"credit","to","all"
"52034",40,"credit","to","dean"
"52037",31,"credit","to","them"
"52046",27,"creek","and","win"
"52047",43,"creek","bridg","just"
"52055",28,"creep","me","out"
"52057",22,"creep","over","sever"
"52059",22,"cremat","societi","oviedo"
"52065",46,"crew","at","undisclos"
"52067",22,"crew","chief","steve"
"52069",43,"crew","from","the"
"52071",32,"crew","knew","was"
"52073",39,"crew","of","musician"
"52075",43,"crew","up","in"
"52076",22,"crew","wa","also"
"52077",36,"crew","will","pave"
"52081",46,"cri","after","the"
"52082",28,"cri","and","i"
"52085",24,"cri","for","increas"
"52087",59,"cri","in","basketball"
"52088",20,"cri","jag","by"
"52090",31,"cri","laugh","lmao"
"52095",49,"cri","to","commenc"
"52099",58,"crib","someth","like"
"52106",29,"cri","and","we"
"52109",36,"crime","a","we"
"52110",20,"crime","but","stressed"
"52111",39,"crime","but","unlik"
"52115",38,"crime","in","chicago"
"52116",23,"crime","involv","africanamericans"
"52126",21,"crime","someon","might"
"52133",38,"crimitr","for","clothworks"
"52134",41,"crimin","action","for"
"52136",36,"crimin","background","check"
"52137",32,"crimin","background","offer"
"52140",37,"crimin","investig","and"
"52143",29,"crimin","method","by"
"52144",34,"crimin","possess","of"
"52145",32,"crimin","record","it"
"52148",26,"crimin","who","tri"
"52151",43,"crimin","in","high"
"52152",39,"crimin","these","newbi"
"52153",43,"crimin","todai","what"
"52158",20,"crippl","servic","cuts"
"52159",23,"crisi","anytim","soon"
"52163",32,"crisi","of","2001"
"52168",21,"crisi","thei","werent"
"52169",38,"crisi","we","didnt"
"52170",24,"crisi","but","said"
"52171",55,"crisi","consent","agreement"
"52174",32,"crisi","wallac","ask"
"52176",49,"crisp","for","a"
"52179",26,"crisp","with","the"
"52182",28,"cristo","rei","student"
"52190",24,"critic","for","eat"
"52191",41,"critic","from","eric"
"52193",33,"critic","ghost","the"
"52195",39,"critic","id","heard"
"52197",28,"critic","issu","with"
"52201",43,"critic","of","a"
"52206",43,"critic","of","the"
"52209",39,"critic","presid","obama"
"52211",21,"critic","see","absolut"
"52212",20,"critic","spirit","while"
"52214",43,"critic","the","fact"
"52215",32,"critic","the","new"
"52219",36,"criticis","so","i"
"52220",39,"critic","disagr","or"
"52223",38,"critiqu","of","these"
"52224",58,"critter","and","plants"
"52226",27,"croatian","cook","behind"
"52227",30,"crochet","i","am"
"52228",30,"crochet","isnt","quit"
"52229",30,"crochet","pattern","as"
"52230",30,"crochet","project","from"
"52233",38,"crockpot","i","on"
"52234",23,"crocodil","to","die"
"52238",31,"crook","offici","are"
"52239",26,"croom","alton","pig"
"52240",21,"crop","failur","wendi"
"52242",26,"crop","or","log"
"52246",33,"cross","60","islip"
"52249",49,"cross","between","the"
"52253",30,"cross","from","forward"
"52255",24,"cross","like","so"
"52260",25,"cross","road","mani"
"52262",37,"cross","the","atlantic"
"52266",32,"cross","the","t"
"52268",25,"cross","their","palat"
"52270",21,"cross","your","finger"
"52272",33,"crossfit","sweat","is"
"52273",42,"crotch","not","the"
"52274",39,"crouch","at","the"
"52281",45,"crowd","and","to"
"52284",32,"crowd","back","to"
"52286",24,"crowd","built","through"
"52288",42,"crowd","in","ani"
"52290",22,"crowd","made","up"
"52292",21,"crowd","of","a"
"52295",50,"crowd","of","volunteers"
"52296",40,"crowd","on","the"
"52298",35,"crowd","parti","where"
"52299",33,"crowd","reaction","just"
"52300",27,"crowd","scream","shame"
"52308",34,"crowd","turn","onc"
"52309",21,"crowlei","i","that"
"52311",32,"crown","","all"
"52313",25,"crown","for","my"
"52314",26,"crown","himself","king"
"52316",29,"crown","jewel","bear"
"52320",45,"crtasa","work","animal"
"52321",35,"crucial","knowledg","about"
"52322",41,"crucial","role","in"
