"line","frequency","term","prediction"
"36739",49,"cri","to"
"36744",58,"crib","someth"
"36747",44,"cricket","lol"
"36753",29,"cri","and"
"36756",36,"crime","a"
"36757",59,"crime","but"
"36761",38,"crime","in"
"36762",23,"crime","involv"
"36766",26,"crime","of"
"36770",21,"crime","someon"
"36773",36,"crime","thriller"
"36778",38,"crimitr","for"
"36779",41,"crimin","action"
"36781",68,"crimin","background"
"36784",37,"crimin","investig"
"36787",29,"crimin","method"
"36788",34,"crimin","possess"
"36790",32,"crimin","record"
"36793",26,"crimin","who"
"36796",43,"crimin","in"
"36797",39,"crimin","these"
"36798",43,"crimin","todai"
"36803",20,"crippl","servic"
"36804",23,"crisi","anytim"
"36808",44,"crisi","of"
"36810",21,"crisi","thei"
"36811",38,"crisi","we"
"36812",24,"crisi","but"
"36813",55,"crisi","consent"
"36816",32,"crisi","wallac"
"36818",49,"crisp","for"
"36821",26,"crisp","with"
"36824",28,"cristo","rei"
"36832",24,"critic","for"
"36833",55,"critic","from"
"36834",33,"critic","ghost"
"36836",39,"critic","id"
"36838",28,"critic","issu"
"36842",107,"critic","of"
"36845",39,"critic","presid"
"36847",21,"critic","see"
"36848",20,"critic","spirit"
"36850",75,"critic","the"
"36854",36,"criticis","so"
"36855",39,"critic","disagr"
"36857",41,"critiqu","of"
"36858",58,"critter","and"
"36860",27,"croatian","cook"
"36861",30,"crochet","i"
"36862",30,"crochet","isnt"
"36863",30,"crochet","pattern"
"36864",30,"crochet","project"
"36867",38,"crockpot","i"
"36868",23,"crocodil","to"
"36872",31,"crook","offici"
"36873",26,"croom","alton"
"36874",21,"crop","failur"
"36876",26,"crop","or"
"36880",33,"cross","60"
"36884",49,"cross","between"
"36888",30,"cross","from"
"36890",24,"cross","like"
"36895",36,"cross","road"
"36896",94,"cross","the"
"36897",25,"cross","their"
"36899",21,"cross","your"
"36901",33,"crossfit","sweat"
"36902",42,"crotch","not"
"36903",39,"crouch","at"
"36910",64,"crowd","and"
"36912",32,"crowd","back"
"36914",24,"crowd","built"
"36916",42,"crowd","in"
"36918",22,"crowd","made"
"36920",93,"crowd","of"
"36921",40,"crowd","on"
"36922",38,"crowd","parti"
"36923",33,"crowd","reaction"
"36924",27,"crowd","scream"
"36930",32,"crowder","pea"
"36931",34,"crowd","turn"
"36932",21,"crowlei","i"
"36934",32,"crown",""
"36936",25,"crown","for"
"36937",26,"crown","himself"
"36939",47,"crown","jewel"
"36941",21,"crownn","urban"
"36942",45,"crtasa","work"
"36943",35,"crucial","knowledg"
"36944",41,"crucial","role"
"36946",64,"crucial","to"
"36950",31,"crucifixion","a"
"36953",80,"crude","oil"
"36955",33,"cruelli","effect"
"36957",25,"crui","back"
"36959",26,"crui","name"
"36961",42,"crui","ship"
"36964",31,"cruiser","gave"
"36968",29,"crumbl","love"
"36971",22,"crunch","which"
"36975",29,"crush","it"
"36976",21,"crush","leg"
"36977",38,"crush","mayb"
"36978",31,"crush","my"
"36979",87,"crush","on"
"36984",34,"crust","from"
"36989",22,"crustacea","class"
"36992",35,"cruz","said"
"36997",84,"cry","you"
"36999",23,"cry","with"
"37005",41,"crystal","prism"
"37006",23,"crystal","skull"
"37008",36,"crystal","vision"
"37010",37,"crystalblu","water"
"37015",27,"cso","the"
"37022",23,"ct","159"
"37024",43,"ct","312"
"37029",21,"cu","that"
"37031",28,"cuando","too"
"37033",25,"cub","curs"
"37034",35,"cuba","also"
"37035",21,"cuba","specif"
"37036",29,"cuban","dictat"
"37037",34,"cuban","pan"
"37039",42,"cubic","feet"
"37041",34,"cuccinelli","who"
"37044",66,"cue","a"
"37046",27,"cuf","while"
"37048",26,"cuisin","at"
"37052",42,"cullen","and"
"37056",34,"cult","film"
"37060",31,"cultur","anthropologist"
"37062",38,"cultur","a"
"37063",41,"cultur","at"
"37064",22,"cultur","chang"
"37065",26,"cultur","dimensions"
"37066",29,"cultur","exposur"
"37067",52,"cultur","fit"
"37068",26,"cultur","habit"
"37069",26,"cultur","ha"
"37070",33,"cultur","have"
"37071",26,"cultur","in"
"37072",52,"cultur","indic"
"37073",26,"cultur","indic"
"37074",26,"cultur","individu"
"37075",26,"cultur","it"
"37077",40,"cultur","of"
"37078",54,"cultur","organ"
"37081",64,"cultur","that"
"37085",41,"culturegrrl","a"
"37086",24,"cultur","of"
"37087",48,"culver","citi"
"37088",20,"cum","in"
"37090",21,"cumberland","join"
"37092",33,"cumin","and"
"37095",36,"cun","the"
"37096",29,"cunningham","and"
"37097",23,"cunningham","in"
"37099",23,"cunt","tell"
"37100",61,"cup","2"
"37101",61,"cup","250"
"37103",29,"cup","add"
"37105",39,"cup","and"
"37108",26,"cup","custard"
"37112",29,"cup","measur"
"37114",117,"cup","of"
"37116",24,"cup","open"
"37117",21,"cup","playoff"
"37124",37,"cup","three"
"37128",22,"cup","you"
"37132",38,"cupcak","and"
"37134",30,"cupcak","in"
"37136",36,"cupcak","that"
"37143",39,"curado","said"
"37145",65,"curat","alexandra"
"37146",34,"curb","an"
"37147",31,"curb","creativ"
"37155",32,"cure","6308"
"37157",27,"cure","be"
"37160",39,"cure","the"
"37161",32,"cure","brine"
"37162",31,"curi","resourc"
"37164",32,"curio","a"
"37165",20,"curio","becau"
"37166",30,"curio","got"
"37167",57,"curiou","about"
"37168",34,"curiou","and"
"37170",31,"curiou","but"
"37178",31,"curiou","what"
"37179",20,"curl","around"
"37182",28,"curl","when"
"37183",31,"currenc","bloc"
"37184",23,"currenc","convert"
"37186",41,"currenc","issu"
"37189",33,"currenc","the"
"37190",20,"current","and"
"37191",41,"current","appear"
"37192",22,"current","ar"
"37193",38,"current","arrai"
"37194",45,"current","avail"
"37199",47,"current","but"
"37202",49,"current","chief"
"37206",43,"current","debat"
"37214",25,"current","for"
"37222",69,"current","list"
"37225",45,"current","menu"
"37226",38,"current","mold"
"37227",30,"current","monei"
"37228",23,"current","nba"
"37230",28,"current","or"
"37231",30,"current","problem"
"37232",38,"current","publish"
"37236",30,"current","select"
"37239",42,"current","slate"
"37240",41,"current","streak"
"37244",73,"current","us"
"37247",26,"current","with"
"37254",48,"curri","carrot"
"37257",34,"curri","leav"
"37263",37,"cur","of"
"37266",25,"curtain","down"
"37267",42,"curtain","i"
"37269",39,"curtain","need"
"37270",38,"curtain","on"
"37275",22,"curv","in"
"37279",45,"cu","he"
"37280",30,"cushion","despit"
"37281",35,"cushion","of"
"37284",23,"cussin","out"
"37285",26,"custard","or"
"37287",23,"custodi","at"
"37289",41,"custom","and"
"37290",24,"custom","awai"
"37294",36,"custom","discuss"
"37298",39,"custom","if"
"37300",32,"custom","of"
"37302",22,"custom","paperwork"
"37304",54,"custom","product"
"37305",41,"custom","reward"
"37307",39,"custom","servic"
"37308",81,"custom","servic"
"37310",55,"custom","sign"
"37311",24,"custom","sometim"
"37313",40,"custom","tee"
"37314",33,"custom","the"
"37316",39,"custom","who"
"37317",27,"custom","with"
"37319",42,"customari","for"
"37321",49,"custom","in"
"37323",24,"customerrel","staff"
"37325",36,"custom","gener"
"37330",49,"cut","and"
"37331",55,"cut","ar"
"37332",82,"cut","a"
"37333",23,"cut","at"
"37340",43,"cut","did"
"37342",43,"cut","edg"
"37343",30,"cut","for"
"37344",32,"cut","forecast"
"37348",20,"cut","hi"
"37349",34,"cut","imag"
"37350",31,"cut","includ"
"37351",132,"cut","into"
"37352",64,"cut","i"
"37353",24,"cut","jean"
"37359",56,"cut","onc"
"37360",43,"cut","our"
"37361",56,"cut","piec"
"37364",54,"cut","small"
"37365",36,"cut","state"
"37367",119,"cut","the"
"37368",51,"cut","them"
"37369",56,"cut","thing"
"37375",24,"cut","walker"
"37376",43,"cut","with"
"37377",24,"cut","without"
"37378",25,"cut","your"
"37380",61,"cute","and"
"37381",35,"cute","a"
"37382",23,"cute","but"
"37385",22,"cute","date"
"37387",48,"cute","gurl"
"37388",49,"cute","i"
"37389",24,"cute","it"
"37390",22,"cute","littl"
"37395",43,"cute","there"
"37396",24,"cute","wait"
"37398",35,"cutest","ever"
"37402",20,"cutler","won"
"37404",41,"cutoff","show"
"37406",20,"cutout","of"
"37407",26,"cut","all"
"37408",41,"cut","issu"
"37410",57,"cuttin","up"
"37411",93,"cuyahoga","counti"
"37412",22,"cuyahoga","counti"
"37420",48,"cuz","w"
"37422",46,"cv","up"
"37425",57,"cv","walmart"
"37426",29,"cwela","said"
"37427",57,"cwsl","class"
"37428",31,"cy","youngcalib"
"37432",42,"cyborg","equiv"
"37436",73,"cycl","on"
"37438",38,"cycl","start"
"37442",25,"cyclist","heard"
"37445",31,"cylind","but"
"37448",22,"cynic","and"
"37449",22,"cynic","move"
"37457",31,"czech","player"
"37461",33,"czmp","request"
"37462",32,"czyszczon","get"
"37464",28,"diii211962","below"
"37465",28,"dxi141961","and"
"37469",38,"d","amor"
"37473",40,"d","at"
"37474",281,"d","be"
"37476",133,"d","c"
"37478",94,"d","do"
"37482",31,"d","fight"
"37483",29,"d","give"
"37484",44,"d","given"
"37485",23,"d","gloss"
"37486",38,"d","guess"
"37488",43,"d","have"
"37489",32,"d","hai"
"37490",21,"d","he"
"37491",42,"d","heard"
"37492",52,"d","i"
"37494",30,"d","it"
"37495",55,"d","jump"
"37496",26,"d","just"
"37500",20,"d","lai"
"37501",51,"d","let"
"37502",188,"d","like"
"37504",143,"d","love"
"37505",29,"d","made"
"37506",42,"d","massiv"
"37507",25,"d","meet"
"37509",61,"d","noch"
"37511",24,"d","rather"
"37513",89,"d","rt"
"37515",29,"d","sai"
"37516",66,"d","sell"
"37517",60,"d","send"
"37518",46,"d","start"
"37520",30,"d","tomorrow"
"37521",34,"d","trade"
"37523",56,"d","up"
"37527",30,"","π"
"37528",30,"","≥ÒÒÒÒ"
"37529",30,"π","Ò"
"37530",30,"Ò","mitchel"
"37531",30,"≥ÒÒÒÒ","Ò"
"37532",40,"da","brown"
"37533",58,"da","drank"
"37535",22,"da","final"
"37536",25,"da","fire"
"37540",31,"da","vinci"
"37544",28,"desposito","patricia"
"37545",66,"doeuvr","april"
"37549",56,"dab","pictur"
"37551",66,"dad","and"
"37555",44,"dad","do"
"37556",32,"dad","for"
"37557",23,"dad","got"
"37558",24,"dad","grew"
"37559",21,"dad","had"
"37561",31,"dad","i"
"37563",43,"dad","jone"
"37564",43,"dad","just"
"37566",44,"dad","like"
"37567",57,"dad","out"
"37570",62,"dad","so"
"37572",41,"dad","three"
"37573",124,"dad","wa"
"37575",41,"dad","when"
"37576",30,"dad","will"
"37580",70,"daddi","gonna"
"37581",35,"daddi","purpl"
"37588",46,"dagio","dant"
"37590",73,"daili","dressag"
"37592",36,"daili","allow"
"37593",39,"daili","and"
"37595",27,"daili","beast"
"37597",21,"daili","catch"
"37599",27,"daili","fact"
"37602",47,"daili","gift"
"37603",59,"daili","gtki"
"37606",61,"daili","offer"
"37610",36,"daili","realiti"
"37611",35,"daili","ritual"
"37612",43,"daili","routin"
"37614",53,"daili","tweet"
"37616",22,"daili","and"
"37617",30,"daili","the"
"37620",37,"dairi","egg"
"37624",31,"dakota","that"
"37626",43,"dale","tallon"
"37628",33,"dalembert","would"
"37630",25,"dali","and"
"37631",64,"dali","what"
"37635",51,"dalla","with"
"37636",26,"dalla","14"
"37637",34,"dalla","thei"
"37638",34,"dallianc","with"
"37642",46,"dam","and"
"37647",43,"damag","among"
"37649",36,"damag","brazil"
"37650",33,"damag","by"
"37656",23,"damag","harbor"
"37660",63,"damag","to"
"37662",20,"damag","ha"
"37663",20,"damag","if"
"37665",20,"damag","no"
"37669",26,"dame","4627"
"37670",38,"dame",""
"37671",31,"dame","dai"
"37672",54,"dame","flame"
"37674",26,"damien","wilkin"
"37675",51,"damm","lost"
"37676",101,"dammit","i"
"37678",30,"damn","bagel"
"37680",46,"damn","boi"
"37681",24,"damn","don"
"37683",22,"damn","forgot"
"37684",60,"damn","good"
"37685",41,"damn","hijab"
"37686",55,"damn","i"
"37687",53,"damn","if"
"37688",22,"damn","it"
"37693",54,"damn","son"
"37695",28,"damn","thing"
"37696",48,"damn","thi"
"37697",36,"damn","tire"
"37698",69,"damn","vend"
"37699",55,"damn","wat"
"37700",33,"damn","what"
"37702",46,"damn","you"
"37703",20,"damnt","i"
"37704",22,"damon","hakeem"
"37705",32,"damp","patch"
"37706",21,"dan","amrich"
"37709",26,"dan","gilbert"
"37711",35,"dan","munson"
"37713",42,"dan","tuohi"
"37714",35,"dan","waldrop"
"37716",32,"dan","take"
"37718",129,"danc","and"
"37720",64,"danc","around"
"37725",88,"danc","in"
"37726",37,"danc","just"
"37730",37,"danc","parti"
"37733",43,"danc","st"
"37734",25,"danc","up"
"37736",23,"danc","with"
"37739",38,"danc","oz"
"37740",44,"danc","while"
"37745",35,"dancer","by"
"37749",25,"dancer","suggest"
"37751",65,"dane","counti"
"37756",41,"danger","below"
"37759",20,"danger","for"
"37763",56,"danger","of"
"37765",22,"danger","to"
"37767",33,"danger","just"
"37768",26,"danger","eventu"
"37770",49,"dani","xoxo"
"37775",49,"daniel","isom"
"37776",54,"daniel","lusk"
"37782",27,"daniel","van"
"37785",29,"daniel","smith"
"37788",35,"dank","in"
"37790",28,"dann","who"
"37794",43,"danni","and"
"37797",46,"dant","dolc"
"37798",22,"dap","ego"
"37802",25,"dare","i"
"37803",50,"dare","or"
"37805",32,"darien","bryant"
"37806",44,"dark","and"
"37808",50,"dark","blue"
"37812",31,"dark","describ"
"37814",30,"dark","goddess"
"37816",25,"dark","hor"
"37817",36,"dark","in"
"37821",30,"dark","nori"
"37826",23,"dark","shadow"
"37827",34,"dark","shadow"
"37828",59,"dark","shadzzzzzzzzzzzz"
"37829",34,"dark","side"
"37830",33,"dark","that"
"37833",27,"dark","whi"
"37837",42,"darker","than"
"37840",37,"dark","you"
"37842",34,"darkskin","raphela"
"37843",36,"darl","daughter"
"37844",38,"darl","i"
"37849",54,"darl","how"
"37850",24,"darlington","counti"
"37854",42,"darn","good"
"37856",27,"darna","for"
"37858",62,"darren","sprole"
"37859",41,"darrent","william"
"37862",23,"dart","that"
"37863",39,"dart","will"
"37864",26,"dartmoor","it"
"37865",39,"dartmouth","economist"
"37867",34,"da","that"
"37868",78,"dash","of"
"37869",36,"dash","the"
"37870",32,"dashboard","dump"
"37871",44,"dassalo","where"
"37872",33,"dasypodiu","a"
"37873",33,"dasypodiu","but"
"37874",33,"dasypodiu","howev"
"37875",22,"dat","t"
"37878",25,"dat","shit"
"37879",20,"databit","state"
"37884",20,"data","bu"
"37887",44,"data","compress"
"37889",41,"data","date"
"37890",58,"data","entri"
"37895",44,"data","nativ"
"37897",27,"data","process"
"37898",25,"data","record"
"37899",24,"data","recoveri"
"37902",44,"data","stream"
"37904",44,"data","that"
"37905",44,"data","therefor"
"37906",58,"data","to"
"37908",33,"data","were"
"37909",29,"databank","so"
"37912",71,"databa","in"
"37918",113,"date","and"
"37920",36,"date","back"
"37922",38,"date","event"
"37923",23,"date","expressli"
"37924",39,"date","for"
"37926",61,"date","i"
"37927",39,"date","it"
"37930",57,"date","night"
"37932",40,"date","of"
"37933",22,"date","omg"
"37934",62,"date","perhap"
"37935",54,"date","the"
"37936",88,"date","to"
"37937",35,"date","will"
"37938",50,"date","with"
"37947",26,"daughter","ami"
"37948",31,"daughter","and"
"37949",36,"daughter","a"
"37951",26,"daughter","chloe"
"37952",22,"daughter","favourit"
"37954",48,"daughter","ha"
"37957",43,"daughter","it"
"37959",63,"daughter","of"
"37961",38,"daughter","progress"
"37962",22,"daughter","road"
"37963",52,"daughter","she"
"37965",48,"daughter","to"
"37970",26,"daughter","cindi"
"37972",46,"daunt","task"
"37974",27,"dave","and"
"37980",54,"dave","fat"
"37981",36,"dave","groeschner"
"37983",26,"dave","rueter"
"37984",21,"dave","saw"
"37985",49,"dave","smolei"
"37986",33,"dave","stewart"
"37990",35,"davi","i"
"37992",30,"davi","receiv"
"37993",84,"davi","said"
"37995",26,"davi","threw"
"37996",32,"davi","wa"
"37997",23,"davi","wont"
"37998",27,"davi","young"
"38002",49,"david","bauder"
"38003",44,"david","bowi"
"38006",26,"david","clark"
"38008",41,"david","eldridg"
"38012",26,"david","kill"
"38013",43,"david","koch"
"38015",42,"david","lefevr"
"38018",29,"david","mello"
"38020",31,"david","on"
"38023",32,"david","satterfield"
"38024",49,"david","tennant"
"38025",22,"david","think"
"38027",28,"david","tri"
"38028",26,"david","wasnt"
"38032",32,"david","wright"
"38033",35,"david","wu"
"38040",33,"davi","kenyon"
"38041",50,"davi","lo"
"38042",32,"davi","smooth"
"38043",44,"dawn","i"
"38049",44,"dai","turntoy"
"38051",92,"dai","3"
"38053",48,"dai","2012"
"38055",145,"dai","a"
"38056",56,"dai",""
"38057",33,"dai",""
"38059",126,"dai","after"
"38060",222,"dai","ago"
"38062",36,"dai","aliv"
"38063",82,"dai","all"
"38064",43,"dai","an"
"38065",366,"dai","and"
"38067",29,"dai","apart"
"38068",77,"dai","ar"
"38069",155,"dai","a"
"38070",318,"dai","at"
"38072",40,"dai","awai"
"38075",41,"dai","becom"
"38081",29,"dai","brouwer"
"38083",102,"dai","but"
"38084",109,"dai","by"
"38086",65,"dai","can"
"38087",37,"dai","care"
"38089",45,"dai","check"
"38091",68,"dai","come"
"38092",25,"dai","cut"
"38093",26,"dai","deci"
"38096",62,"dai","done"
"38098",25,"dai","drive"
"38102",33,"dai","end"
"38103",27,"dai","even"
"38104",38,"dai","event"
"38105",32,"dai","everi"
"38107",53,"dai","everydai"
"38108",60,"dai","everyon"
"38112",107,"dai","for"
"38115",28,"dai","get"
"38118",41,"dai","go"
"38120",53,"dai","great"
"38122",26,"dai","hampton"
"38123",40,"dai","hardest"
"38124",50,"dai","ha"
"38127",26,"dai","henrietta"
"38128",20,"dai","her"
"38129",41,"dai","here"
"38130",42,"dai","holla"
"38131",24,"dai","huerta"
"38132",392,"dai","i"
"38134",20,"dai","if"
"38136",436,"dai","in"
"38138",114,"dai","i"
"38139",43,"dai","isn"
"38140",122,"dai","it"
"38142",97,"dai","just"
"38145",20,"dai","last"
"38147",111,"dai","later"
"38148",29,"dai","laugh"
"38151",57,"dai","left"
"38152",60,"dai","let"
"38154",66,"dai","like"
"38155",21,"dai","lincoln"
"38156",31,"dai","littl"
"38157",37,"dai","live"
"38160",61,"dai","make"
"38161",28,"dai","man"
"38165",22,"dai","my"
"38166",42,"dai","need"
"38169",401,"dai","of"
"38170",58,"dai","off"
"38171",42,"dai","offer"
"38172",30,"dai","on"
"38173",57,"dai","on"
"38174",183,"dai","or"
"38175",70,"dai","out"
"38178",53,"dai","right"
"38179",47,"dai","rise"
"38180",60,"dai","sad"
"38181",51,"dai","sale"
"38183",43,"dai","seem"
"38188",25,"dai","sinc"
"38190",21,"dai","so"
"38193",51,"dai","soon"
"38197",38,"dai","start"
"38198",36,"dai","sunset"
"38199",34,"dai","sure"
"38203",173,"dai","that"
"38204",232,"dai","the"
"38205",66,"dai","there"
"38206",75,"dai","thei"
"38208",71,"dai","thi"
"38210",28,"dai","till"
"38211",468,"dai","to"
"38212",100,"dai","todai"
"38213",70,"dai","tomorrow"
"38214",45,"dai","tweet"
"38217",43,"dai","valentin"
"38219",55,"dai","video"
"38220",50,"dai","wa"
"38222",122,"dai","wa"
"38224",111,"dai","we"
"38228",104,"dai","when"
"38229",36,"dai","where"
"38231",29,"dai","which"
"38232",43,"dai","will"
"38233",74,"dai","with"
"38235",59,"dai","work"
"38236",42,"dai","would"
"38237",25,"dai","write"
"38238",69,"dai","xoxo"
"38239",31,"dai","yesterdai"
"38240",32,"dai","you"
"38241",20,"dayfab","fridai"
"38242",39,"daylight","and"
"38245",27,"dayovernight","camp"
"38247",39,"dai","ali"
"38257",29,"dai","here"
"38258",22,"dai","i"
"38259",54,"dai","in"
"38260",32,"dai","indian"
"38266",35,"dai","shake"
"38272",33,"dai","we"
"38274",48,"daytodai","it"
"38280",24,"dayz","til"
"38283",58,"dba","anoth"
"38284",60,"dbi","bit"
"38285",20,"dbi","method"
"38289",32,"dc","onto"
"38291",32,"dc","thi"
"38298",37,"dcwv","glitter"
"38299",29,"dcwv","the"
"38300",72,"dd","but"
"38303",47,"ddo","attack"
"38304",20,"ddr4","sdram"
"38305",34,"de","agua"
"38310",25,"de","cafe"
"38312",39,"de","cervantespeac"
"38313",36,"de","cologn"
"38315",39,"de","forc"
"38316",37,"de","forest"
"38319",47,"de","la"
"38320",20,"de","lang"
"38324",72,"de","mayo"
"38325",38,"de","parfum"
"38326",42,"de","provenc"
"38330",57,"de","soto"
"38331",70,"de","vere"
"38332",28,"de","vez"
"38336",22,"dea","file"
"38337",22,"deactiv","for"
"38338",22,"dead",""
"38341",47,"dead","bodi"
"38343",31,"dead","dead"
"38344",54,"dead","for"
"38345",25,"dead","forc"
"38349",31,"dead","insid"
"38350",53,"dead","let"
"38351",50,"dead","nfl"
"38355",48,"dead","silenc"
"38356",32,"dead","spider"
"38359",31,"dead","each"
"38360",30,"deadlin","bolster"
"38366",95,"deadlin","to"
"38367",50,"deadlin","weekend"
"38368",30,"deadlin","24th"
"38369",24,"deadlock","at"
"38374",51,"deal","and"
"38375",46,"deal","at"
"38376",37,"deal","att"
"38377",27,"deal","by"
"38378",60,"deal","ˇ"
"38382",40,"deal","grant"
"38385",99,"deal","in"
"38386",39,"deal","i"
"38388",50,"deal","launch"
"38389",40,"deal","like"
"38390",147,"deal","of"
"38391",55,"deal","on"
"38396",43,"deal","to"
"38397",47,"deal","tweet"
"38401",37,"deal","which"
"38402",458,"deal","with"
"38406",22,"dealer","custom"
"38411",28,"dealer","were"
"38413",34,"dealers","desir"
"38415",40,"dealership","in"
"38421",31,"dean","for"
"38422",40,"dean","jeffri"
"38423",40,"dean","jeffries"
"38425",34,"dean","rick"
"38428",36,"dean","who"
"38431",27,"dear","att"
"38433",53,"dear","board"
"38436",61,"dear","everyon"
"38438",40,"dear","gui"
"38441",43,"dear","husband"
"38442",69,"dear","i"
"38443",20,"dear","leader"
"38444",30,"dear","lisa"
"38446",33,"dear","person"
"38447",31,"dear","to"
"38449",37,"dearborn","democrat"
"38450",36,"dearest","friend"
"38451",33,"dearest","or"
"38458",46,"death","for"
"38459",22,"death","from"
"38460",25,"death","hallow"
"38462",23,"death","i"
"38463",93,"death","in"
"38464",22,"death","involv"
"38465",40,"death","i"
"38466",37,"death","it"
"38467",27,"death","like"
"38469",258,"death","of"
"38470",25,"death","or"
"38471",68,"death","penalti"
"38473",66,"death","rai"
"38475",27,"death","sentenc"
"38476",22,"death","she"
"38477",71,"death","star"
"38480",29,"death","the"
"38481",34,"death","toll"
"38482",32,"death","vallei"
"38484",49,"death","we"
"38487",38,"deb","strain"
"38488",23,"debacl","wa"
"38489",31,"debacl","with"
"38492",24,"debat","if"
"38493",55,"debat","in"
"38495",29,"debat","on"
"38498",38,"debat","wa"
"38499",73,"debat","whether"
"38501",33,"debat","extent"
"38504",20,"debat","but"
"38506",38,"debat","which"
"38509",36,"debbi","grab"
"38511",37,"debit","chang"
"38512",44,"debonair","and"
"38515",57,"deborah","lipstadt"
"38521",23,"debt","crisi"
"38523",47,"debt","himself"
"38525",33,"debt","menac"
"38526",33,"debt","stood"
"38532",33,"debut","album"
"38537",36,"debut","for"
"38538",46,"debut","in"
"38539",38,"debut","it"
"38542",38,"debut","will"
"38543",41,"dec","18"
"38546",34,"dec","28"
"38547",42,"dec","31"
"38548",32,"decad","a"
"38552",28,"decad","and"
"38553",34,"decad","but"
"38554",22,"decad","earlier"
"38559",30,"decad","later"
"38563",23,"decad","to"
"38565",32,"decad","ar"
"38568",31,"decai","and"
"38569",20,"decai","plastic"
"38570",60,"deccan","mai"
"38572",25,"decemb","12th"
"38573",24,"decemb","19th"
"38576",31,"decemb","at"
"38579",47,"decemb","claim"
"38581",20,"decemb","sinclair"
"38584",52,"decent","good"
"38586",35,"decent","level"
"38588",34,"decent","success"
"38589",36,"decept","practic"
"38591",33,"decid","a"
"38595",43,"decid","he"
"38597",59,"decid","not"
"38602",53,"decid","that"
"38603",57,"decid","the"
"38604",31,"decid","thi"
"38605",711,"decid","to"
"38606",41,"decid","todai"
"38610",118,"decid","whether"
"38612",30,"decid","yet"
"38613",58,"decid","but"
"38616",26,"deci",""
"38617",23,"deci","about"
"38618",27,"deci","against"
"38620",101,"deci","for"
"38623",22,"deci","in"
"38624",34,"deci","i"
"38627",35,"deci","of"
"38628",66,"deci","on"
"38634",41,"deci","spark"
"38635",23,"deci","that"
"38636",22,"deci","thei"
"38637",271,"deci","to"
"38642",36,"deci","will"
"38643",20,"deci","would"
"38644",23,"decis",""
"38645",24,"decis","for"
"38651",22,"decis","particular"
"38653",21,"deck","look"
"38656",22,"deck","to"
"38657",20,"decker","bu"
"38658",31,"decker","said"
"38659",53,"deck","in"
"38660",42,"declan","fitzpatrick"
"38665",26,"declar","invalid"
"38666",74,"declar","it"
"38668",47,"declar","them"
"38671",35,"declar","victori"
"38673",33,"declin","and"
"38674",34,"declin","comment"
"38676",41,"declin","for"
"38678",35,"declin","level"
"38679",41,"declin","mondai"
"38683",211,"declin","to"
"38693",36,"decor","common"
"38696",40,"decor","take"
"38697",20,"decor","the"
"38699",24,"decor","your"
"38700",39,"decor","get"
"38701",30,"decor","thei"
"38702",44,"decrea","by"
"38704",26,"decrea","of"
"38705",23,"decrea","properti"
"38708",24,"decri","by"
"38714",27,"dedic","parttim"
"38716",37,"dedic","the"
"38717",93,"dedic","to"
"38723",33,"deductiblethi","i"
"38726",53,"deed","for"
"38730",34,"deep","and"
"38733",22,"deep","fri"
"38735",39,"deep","hi"
"38736",34,"deep","into"
"38738",31,"deep","purpl"
"38740",49,"deep","royeddi"
"38742",35,"deep","throat"
"38748",43,"deeper","and"
"38749",27,"deeper","mean"
"38751",51,"deeper","shade"
"38752",33,"deeper","struggl"
"38754",23,"deepest","most"
"38756",31,"deepli","experi"
"38759",21,"deepli","to"
"38762",41,"deer","camp"
"38764",31,"deer","shot"
"38773",24,"def","kristina"
"38774",21,"def","line"
"38777",58,"def","miss"
"38783",52,"def","tri"
"38785",34,"default","lol"
"38789",21,"defeat","in"
"38792",33,"defeat","of"
"38793",40,"defeat","them"
"38794",20,"defeat","would"
"38795",37,"defeat","victori"
"38796",43,"defenc","cut"
"38798",38,"defend","a"
"38799",40,"defend","and"
"38801",52,"defend","back"
"38804",38,"defend","especi"
"38807",23,"defend","hi"
"38808",34,"defend","in"
"38810",43,"defend","it"
"38812",38,"defend","of"
"38815",24,"defend","the"
"38816",30,"defend","tori"
"38817",30,"defend","wa"
"38818",49,"defend","zombi"
"38820",44,"defen","and"
"38821",61,"defen","attornei"
"38822",31,"defen","claim"
"38824",27,"defen","council"
"38825",39,"defen","effort"
"38826",33,"defen","end"
"38830",44,"defen","in"
"38831",43,"defen","i"
"38833",45,"defen","left"
"38836",26,"defen","linemen"
"38838",33,"defen","of"
"38840",30,"defen","plai"
"38841",26,"defen","player"
"38842",45,"defen","replac"
"38845",44,"defen","with"
"38848",35,"defenseman","chri"
"38849",57,"defenseman","clayton"
"38850",29,"defenseman","kar"
"38852",29,"defenseman","ruslan"
"38853",30,"defensemen","but"
"38855",23,"defer","acquisit"
"38856",29,"defer","to"
"38857",36,"defi","expect"
"38860",31,"defiant","disord"
"38862",21,"deficit","and"
"38863",28,"deficit","balloon"
"38865",33,"deficit","expect"
"38866",33,"deficit","in"
"38867",20,"deficit","it"
"38872",56,"defin","by"
"38873",20,"defin","in"
"38876",30,"defin","me"
"38882",117,"definit","a"
"38883",43,"definit","an"
"38886",69,"definit","be"
"38888",40,"definit","give"
"38889",37,"definit","got"
"38893",26,"definit","hd"
"38894",24,"definit","help"
"38895",23,"definit","imagin"
"38898",43,"definit","longterm"
"38899",39,"definit","look"
"38900",33,"definit","love"
"38901",33,"definit","make"
